# Force and moment coefficients
# dragDir             : (9.84807753012208e-01 1.73648177666930e-01 0.00000000000000e+00)
# sideDir             : (0.00000000000000e+00 0.00000000000000e+00 -1.00000000000000e+00)
# liftDir             : (-1.73648177666930e-01 9.84807753012208e-01 0.00000000000000e+00)
# rollAxis            : (9.84807753012208e-01 1.73648177666930e-01 0.00000000000000e+00)
# pitchAxis           : (0.00000000000000e+00 0.00000000000000e+00 -1.00000000000000e+00)
# yawAxis             : (-1.73648177666930e-01 9.84807753012208e-01 0.00000000000000e+00)
# magUInf             : 1.00000000000000e+00
# lRef                : 1.00000000000000e+00
# Aref                : 1.99895000000000e+00
# CofR                : (2.50000000000000e-01 0.00000000000000e+00 0.00000000000000e+00)
#
# Time                	Cd                    	Cd(f)                 	Cd(r)                 	Cl                    	Cl(f)                 	Cl(r)                 	CmPitch               	CmRoll                	CmYaw                 	Cs                    	Cs(f)                 	Cs(r)                 
50                    	7.88566464686030e-02	3.86620180616140e-02	4.01946284069890e-02	1.07427213778690e+00	6.33685285028680e-01	4.40586852758219e-01	9.65492161352304e-02	-7.66305172687519e-04	5.62504173398445e-05	-2.43540817703375e-15	5.62504173386268e-05	-5.62504173410622e-05
100                   	1.08524080674272e-01	5.29758774982253e-02	5.55482031760471e-02	1.80305308086807e+00	9.00489327837379e-01	9.02563753030689e-01	-1.03721259665523e-03	-1.28616283891088e-03	7.74129398446069e-05	-2.41837045975896e-15	7.74129398433977e-05	-7.74129398458161e-05
150                   	8.43676993167045e-02	4.07367225655756e-02	4.36309767511289e-02	2.02870654018288e+00	1.00759180777030e+00	1.02111473241259e+00	-6.76146232114436e-03	-1.44712709277667e-03	6.01815891127301e-05	-2.41427183965375e-15	6.01815891115229e-05	-6.01815891139372e-05
200                   	8.14398668929127e-02	3.92285911217656e-02	4.22112757711471e-02	2.09069123427621e+00	1.03336775703801e+00	1.05732347723821e+00	-1.19778601001002e-02	-1.49134232469076e-03	5.80930930490219e-05	-2.41243101651481e-15	5.80930930478157e-05	-5.80930930502281e-05
250                   	7.97949487372087e-02	3.83928453814574e-02	4.14021033557514e-02	2.10931761419595e+00	1.04163315947509e+00	1.06768445472086e+00	-1.30256476228865e-02	-1.50462898714700e-03	5.69197318056065e-05	-2.41199558933058e-15	5.69197318044005e-05	-5.69197318068125e-05
300                   	7.94265995487394e-02	3.82050317564610e-02	4.12215677922783e-02	2.11441911878593e+00	1.04383464843792e+00	1.07058447034800e+00	-1.33749109550407e-02	-1.50826801790865e-03	5.66569791207395e-05	-2.41186226438949e-15	5.66569791195335e-05	-5.66569791219454e-05
350                   	7.93081382849387e-02	3.81447336579207e-02	4.11634046270180e-02	2.11591558482876e+00	1.04448769904151e+00	1.07142788578725e+00	-1.34700933728727e-02	-1.50933548454865e-03	5.65724777397394e-05	-2.41182484415917e-15	5.65724777385335e-05	-5.65724777409453e-05
400                   	7.92753608019081e-02	3.81280446763394e-02	4.11473161255687e-02	2.11633648703458e+00	1.04467177739700e+00	1.07166470963757e+00	-1.34964661202849e-02	-1.50963572461461e-03	5.65490967416580e-05	-2.41181402422892e-15	5.65490967404521e-05	-5.65490967428639e-05
450                   	7.92656008593853e-02	3.81230802507267e-02	4.11425206086587e-02	2.11645488236824e+00	1.04472365994134e+00	1.07173122242691e+00	-1.35037812427856e-02	-1.50972017896599e-03	5.65421347306490e-05	-2.41181124285734e-15	5.65421347294431e-05	-5.65421347318549e-05
500                   	7.92629184233393e-02	3.81217144898340e-02	4.11412039335054e-02	2.11648928866225e+00	1.04473851799602e+00	1.07175077066623e+00	-1.35061263351085e-02	-1.50974472183570e-03	5.65402212819678e-05	-2.41181033937209e-15	5.65402212807619e-05	-5.65402212831737e-05
