"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       
           0,       0.108208316,  -1.0746094780766,  -11.278387676962,   -11.34181298692,   4.4064994167734,  -6.4531992510135,    3.512516363873,   7.0908028825073
           1,       0.062902504,   -1.485992388597,  0.72474448132679,    1.182022782298,   3.9942680525312,   -6.254623131717,   2.1452710574545,    4.620954594543
           2, 0.047907961666667,  -1.6025210308788,  0.42523862629853,  0.63629233918614,   3.8794084739652,   -6.057935848277,  0.72504361210083,   1.9207691986511
           3,     0.04013093325,  -1.9070258442585,  0.21502735366312,  0.41374697873227,   3.5764838417445,  -5.8071118750674, 0.059685003177484,  0.46545779497922
           4,      0.0355326862,  -2.3347715982025,-0.031723284876498,  0.17820225710542,   3.1483678478225,  -5.5432538091822,-0.065661060429126, 0.076967427592704
           5,       0.032463627,  -2.6023485740321, -0.12458502075714,-0.063177657484003,   2.8813945339458,  -5.2829413162681,-0.0040154133606727,  0.17528889220145
           6, 0.030326853428571,  -2.9256853493183, -0.14250030663091, -0.12583937103962,   2.5567894552957,  -5.0401307503741, 0.072613371930517,  0.40421070127931
           7,      0.0287320955,  -3.0323791134331, -0.23769432629114, -0.26384870959639,   2.4492500031401,  -4.8332903993145,  0.11713825435604,  0.59316819093167
           8, 0.027489808555556,   -3.104271432599, -0.29690228371862, -0.38412900685136,   2.3782909488055,  -4.6759370686756,  0.13074199781181,  0.69165346054875
           9,      0.0264930884,  -3.2594972463691, -0.29712978032294, -0.43819506250775,    2.224417138623,  -4.5759158836006,  0.12690229155621,  0.72069197234117
          10, 0.025721390636364,  -3.4151308029265, -0.29757827921493, -0.46580076509486,    2.075726980656,   -4.520805897768,  0.11856161040478,  0.72363684418807
          11, 0.025080170416667,  -3.4836634511005, -0.30442211982547, -0.48909146496679,   2.0164235025342,  -4.4877958654891,  0.11279759959296,  0.73055467761007
          12, 0.024536739615385,  -3.5231989816551, -0.30898648863459,  -0.5078709646075,   1.9816862114256,  -4.4638745220535,  0.11112668720428,  0.75111116751072
          13, 0.024069418714286,  -3.5593482016888, -0.31104621366912, -0.52760274089644,   1.9458348482757,  -4.4444642025404,  0.11170115347533,  0.78071033292724
          14, 0.023662979266667,  -3.5834525583086, -0.31254206664975,  -0.5485938948648,   1.9201950834557,  -4.4260031761337,  0.11237184362284,  0.81159578658227
          15,       0.023310359,  -3.6040573167716, -0.31417225261116, -0.56782678411515,   1.9000574542276,  -4.4068171234481,  0.11209933375086,  0.83906979305311
          16, 0.022994174058824,  -3.6299382476373, -0.31606546666644,  -0.5839448295391,   1.8779940180177,  -4.3872578529949,  0.11087698256027,  0.86225574811541
          17, 0.022720758111111,   -3.660273741343,  -0.3182468090505, -0.59754237727043,   1.8542361050089,  -4.3681150202814,  0.10913280655764,   0.8823423603769
          18, 0.022472309315789,  -3.6906817104977, -0.32067797610319, -0.60957449895995,   1.8317808082953,  -4.3494644828994,  0.10727355574013,  0.90082354932988
          19,     0.02224854115,  -3.7178178846606,  -0.3232789980025, -0.62066602301555,   1.8125637378159,  -4.3311678320152,  0.10551181137312,  0.91861952597823
          20, 0.022045043047619,   -3.740472910057, -0.32595651216064, -0.63110421991001,   1.7970634089331,  -4.3131574375732,   0.1038887870874,  0.93599709053351
          21, 0.021859704772727,  -3.7588106721208, -0.32862679724169, -0.64105098975268,   1.7850924104208,  -4.2952004263557,  0.10236488469797,  0.95286222266962
          22, 0.021693322652174,  -3.7738359291239, -0.33123531957588, -0.65064554174268,   1.7759543136875,  -4.2774956119252,  0.10089563675603,  0.96906667309624
          23, 0.021539254083333,  -3.7864661093008,  -0.3337443782475, -0.66001635607954,   1.7689186620862,  -4.2591189947274, 0.099464099205463,  0.98456003647469
          24,     0.02140007088,  -3.7971226835159, -0.33613044419724, -0.66928275536883,   1.7634982951578,  -4.2407247683066, 0.098076925996295,  0.99939439273704
          25, 0.021267591961538,  -3.8061042090673, -0.33838877375945, -0.67849751397836,   1.7592898586027,  -4.2223016598851, 0.096749941281812,   1.0136675454189
          26, 0.021144940518519,  -3.8136569202141,  -0.3405266127632, -0.68767513706316,   1.7559941516664,  -4.2035959879851, 0.095496901776301,   1.0274731465851
