"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       
           0,       0.108425742,  -3.9428814626991,  -16.944099730872,   -16.83098127814,  -3.5429915129428,  -11.534429479776,    3.511458886281,   7.0887002363858
           1,      0.0632232725,  -4.3543057307281,  -4.6841383788267,  -4.2269510629305,  -3.9552634973115,  -11.335643861292,   2.1414906715834,    4.614759375883
           2, 0.048031156333333,  -4.4704761037922,  -4.9838607840031,  -4.7738865955581,  -4.0697655686623,   -11.13923209353,  0.72110360355339,   1.9130103612034
           3,      0.0403971445,  -4.7763383891551,  -5.1940170703636,  -4.9940288859267,  -4.3740479638429,  -10.888422390077, 0.058301788640265,  0.46254667082691
           4,      0.0357454196,   -5.203253175887,  -5.4406590747065,  -5.2309449884997,  -4.8013491359727,  -10.624560690178,-0.065997787011416, 0.076421899534301
           5, 0.032645754166667,   -5.470762372366,  -5.5333179777499,  -5.4720134210603,  -5.0682381332493,  -10.364240946043,-0.0037647302314799,  0.17611067871848
           6, 0.030428576142857,  -5.7943936249916,   -5.551306955883,   -5.534713562694,  -5.3931197228311,  -10.121435412776, 0.072821251812445,  0.40530167536443
           7,       0.028812664,   -5.897563874132,  -5.6458621525842,  -5.6712754703821,  -5.4970870934906,  -9.9145947222556,  0.11752614118206,  0.59450949107912
           8, 0.027556366333333,   -5.970700769738,  -5.7060712081941,  -5.7927289723566,  -5.5693244365574,  -9.7572435455984,  0.13100111813013,  0.69289580819711
           9,      0.0265497885,  -6.1278469813005,  -5.7057158013208,  -5.8465583806299,  -5.7250304316903,  -9.6572420911499,  0.12682963900529,  0.72100623025115
          10, 0.025730724181818,  -6.2841588890147,   -5.706209640023,   -5.874284864481,  -5.8741167570904,  -9.6021009805851,  0.11809585597827,  0.72253111097367
          11,      0.0250494405,   -6.348707848771,   -5.713048675621,   -5.897128115876,   -5.929173596992,  -9.5690549174284,  0.11230401031407,  0.72912793222214
          12, 0.024438567307692,  -6.3878557718958,  -5.7174930497803,  -5.9161371650737,  -5.9640159157505,  -9.5450902561395,  0.11055757189433,  0.74961592036676
          13, 0.023910591714286,  -6.4202701434356,  -5.7190791700691,  -5.9357729745438,  -5.9967480899324,   -9.525676505862,  0.11116461560423,  0.77969125699828
          14, 0.023456075133333,  -6.4419919424981,  -5.7205322247891,   -5.956851097125,  -6.0199096254897,  -9.5071891396637,  0.11187616559859,  0.81114386275979
          15,    0.023061065125,  -6.4644833526776,  -5.7222225625135,  -5.9760607842603,  -6.0412001660697,  -9.4879585104321,  0.11157513120696,  0.83885962317228
          16, 0.022714512823529,  -6.4911373635937,  -5.7241475275045,  -5.9919438095935,   -6.063373455915,  -9.4683431448696,  0.11027456144821,  0.86193885838554
          17, 0.022403405277778,  -6.5208746436355,  -5.7263667700295,  -6.0052237097821,  -6.0861517254695,  -9.4491481620614,   0.1084523476362,  0.88178249436247
          18, 0.022124571105263,  -6.5506268015098,  -5.7288609413454,  -6.0169575049741,  -6.1078906366254,  -9.4304551641397,  0.10654758692773,  0.90008348134463
          19,      0.0218943386,  -6.5775922890095,  -5.7315481028036,  -6.0277474650377,  -6.1270826533591,  -9.4121333061664,  0.10477822370734,  0.91782892869934
          20, 0.021668232809524,    -6.60002820528,  -5.7343558984487,  -6.0378354337677,  -6.1425824718561,   -9.394100052144,   0.1031673678265,  0.93522212005412
          21, 0.021462412227273,  -6.6190411377802,  -5.7371586635657,   -6.047569098409,  -6.1551709970946,  -9.3761143014995,  0.10166919168452,  0.95211767315373
          22, 0.021272837173913,  -6.6342337465628,  -5.7398858425845,  -6.0569124011313,  -6.1644758652874,   -9.358382300578,  0.10023109746133,  0.96832760865968
          23,      0.0211006715,  -6.6466217376989,  -5.7424971273598,  -6.0660370003151,  -6.1713609970452,  -9.3399352047231, 0.098837204614057,  0.98381055148691
          24,     0.02094209012,  -6.6569899607631,  -5.7449673081832,  -6.0751017926371,  -6.1766266487189,  -9.3215104567125, 0.097495898300328,  0.99863980466968
          25, 0.020781742615385,  -6.6656481382862,  -5.7472916026753,  -6.0841587447876,   -6.180748050873,  -9.3030870266769, 0.096332575673973,   1.0132865613351
          26, 0.020631264740741,  -6.6661129735379,  -5.7494337128726,  -6.0933082868843,  -6.1807804195624,  -9.2843301855939, 0.095032921515077,    1.026839852705
          27, 0.020491698785714,  -6.6694530409535,   -5.751516710877,  -6.1021650419537,  -6.1816654117014,  -9.2656127145521,  0.09381604260755,   1.0397915901269
          28, 0.020380970172414,  -6.6780649095189,  -5.7535273448828,  -6.1110124959075,  -6.1860969904272,  -9.2470241310346, 0.092727920731701,   1.0524805000569
          29, 0.020263328933333,  -6.6839901623151,  -5.7555932005036,  -6.1197838484022,  -6.1891789183413,  -9.2285848651001, 0.091755332367581,   1.0649805405553
          30, 0.020151844225806,  -6.6874515969617,  -5.7578343265959,  -6.1285596281663,  -6.1910018221945,  -9.2103489435592, 0.090872068313782,   1.0772066177038
          31,   0.0200474730625,  -6.6901917554353,   -5.760358893697,  -6.1374581634946,  -6.1925825678497,  -9.1920854306387, 0.090054363210778,   1.0890568802432
          32, 0.019948348333333,  -6.6926450626037,  -5.7632560816351,  -6.1465861345774,  -6.1941657010946,  -9.1740621888683, 0.089287570765628,   1.1004810856546
          33, 0.019853277176471,  -6.6947992868264,  -5.7666122423692,  -6.1559711660011,  -6.1957994364819,  -9.1562420024035, 0.088567326841256,   1.1114811296089
          34, 0.019764805942857,  -6.6968234875496,    -5.77049176076,  -6.1657000657354,  -6.1976796976682,  -9.1386999216703, 0.087892696201466,   1.1220754222201
          35, 0.019681806527778,  -6.6989338165741,  -5.7749375137561,  -6.1758356574735,  -6.2000107318468,  -9.1215245570521, 0.087261360158377,   1.1322748857614
          36, 0.019602198297297,  -6.7013291285273,  -5.7799716128972,  -6.1864287049355,  -6.2029484854457,  -9.1047948742614, 0.086667775701454,   1.1420742883753
          37, 0.019527652263158,  -6.7042081959225,  -5.7855935503667,  -6.1975225468464,  -6.2066195278517,  -9.0884870885395, 0.086103932861036,    1.151455884384
          38, 0.019455612974359,  -6.7077517869874,   -5.791791550874,  -6.2091505962235,  -6.2111247033953,  -9.0725861595386, 0.085561110536905,   1.1603971892679
          39,      0.0193872796,  -6.7121018027852,  -5.7985405688864,  -6.2213296032411,  -6.2165363366482,   -9.057118381438, 0.085031214615558,   1.1688769938994
          40, 0.019322929121951,  -6.7173578127277,  -5.8058155054175,  -6.2340588320114,  -6.2228979645948,  -9.0418333813929, 0.084506854760752,   1.1768765181081
          41, 0.019261760952381,  -6.7235853997481,  -5.8135841738135,   -6.247328563677,  -6.2302291833686,  -9.0267486388241, 0.083981711709437,   1.1843807448627
